Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-AGENB;AGENDA;AGENDA;AGENDA;MATERIAL MIOLO;PAPEL CERTIFICADO FSC;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;COR MIOLO;PERSONALIZADO - BRANCO;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;DIMENSOES;13,8X20,0;13,8X20,0;CENTIMETRO;cm
SMK-AGENB;AGENDA;AGENDA;AGENDA;DIMENSOES;19,5X27,0;19,5X27,0;CENTIMETRO;cm
SMK-AGENB;AGENDA;AGENDA;AGENDA;QUANTIDADE PAGINAS;144 PAGINAS;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;QUANTIDADE PAGINAS;384 PAGINAS;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;CARACTERISTICAS ESPECIAIS;CONTRASTE C/ GRAVACAO;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;CARACTERISTICAS ESPECIAIS;GRAVACAO EM HOT STAMPING;;;
SMK-AGENB;AGENDA;AGENDA;AGENDA;FORMA FORNECIMENTO;1;;UNIDADE;UN
SMK-AGENB;AGENDA;AGENDA;AGENDA;FABRICANTE-REFERENCIA;DEO-682;DEO-682;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;APLICACAO;GRAOS;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;APLICACAO;PO;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;APLICACAO;SEMENTES;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;TENSAO NOMINAL;440;440;VOLT CORRENTE ALTERNADA;Vca
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;TENSAO NOMINAL;SUPERVACUO DESCARGA;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;POTENCIA;25;25;CAVALO VAPOR;CV
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;PRESSAO TRABALHO;100;100;LIBRA FORCA POR POLEGADA QUADRADA;PSI
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;VAZAO NOMINAL;10000;10000;QUILOGRAMA POR HORA;Kg/h
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;RESERVATORIO;COM RESERVATORIO 100;;LITRO;l
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;MONTAGEM;SOBRE CARRINHO 2 RODAS;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;MONTAGEM;SOBRE SKID;;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;DIMENSOES;1,80X2,85X1,70;;METRO;m
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;DIMENSOES;2 X 1,2 X 0,6;;METRO;m
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;DIMENSOES;2,1 X 1,2 X 1,35;2,1X1,2X1,35;METRO;m
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;ACESSORIO;CARRO PLATAFORMA PNEU;CAR PLAT;;
SMK-AGIND;ASPIRADOR INDUSTRIAL;ASPIRADOR INDUSTRIAL;ASPIRADOR IND;FABRICANTE-REFERENCIA;MANUTEC-SMTC100;MANUTEC-SMTC100;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;10;10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1040 T10;1040T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1040-T10;1040-T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1050 T10;1050T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1050-T10;1050-T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1060 T10;1060T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1070 T10;1070T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1080 T10;1080T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1090-T10;1090T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1100 T10;1100T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1110T;1110T;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1120T-T10;1120T-T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1130T-T10;1130T-T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1140 T10;1140T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;1150 T10;1150 T10;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;11F;11F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;12F;12F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;13F;13F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;15AF;15AF;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;5F;5F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;6F;6F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;7F;7F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;8F;8F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;TAMANHO;9F;9F;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;FABRICANTE;ACIOBRAS;ACIOBRAS;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;FABRICANTE;DODGE;DODGE;;
SMK-AGRAD;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLASTICA;ACOPLAMENTO GRADE PLAS;FABRICANTE;FALK;FALK;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;ACIDULADA;ACIDULADA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;BIDESTILADA;BIDESTILADA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;CLARIFICADA;CLARIFICADA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;COCO;COCO;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;DEIONIZADA;DEIONIZADA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;DESMINERALIZADA;DESMINER;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;DESTILADA;DESTILADA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;MINERAL;MINERAL;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;POTAVEL;POTAVEL;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;POTAVEL PASTEURIZADA;POTAVEL PASTEUR;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;TIPO;TONICA;TONICA;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;COMPOSICAO;COM GAS;C/GAS;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;COMPOSICAO;DIET;DIET;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;COMPOSICAO;SEM GAS;S/GAS;;
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;1;1;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;1;1;GAUSS;G
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;1,5;1,5;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;10;10;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;10;10;MILILITRO;ml
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;15.000;15000;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;2;2;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;2,5;2,5;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FORNECIMENTO;20;20;LITRO;l
SMK-AGUA;AGUA TRATADA;AGUA;AGUA;FABRICANTE-REFERENCIA;;;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;206;206;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;21;21;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;350;350;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;366;366;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;400;400;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;422;422;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;TAMANHO;650;650;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;FABRICANTE-REFERENCIA;SEVERO-RLH-240;SEVERO-RLH-240;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;FABRICANTE-REFERENCIA;TRANSFLUID-KRG 21;TRANSFLUID-KRG 21;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;FABRICANTE-REFERENCIA;VOITH-TVB 366;VOITH-TVB 366;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;FABRICANTE-REFERENCIA;VOITH-TVB 422;VOITH-TVB 422;;
SMK-AHIDR;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDRAULICO;ACOPLAMENTO HIDR;FABRICANTE-REFERENCIA;VOITH-TVRI 422;VOITH-TVRI 422;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;TIPO;3 GARRAS;GAR;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;TIPO;4 GARRAS;GAR;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;TIPO;ENGRAXADEIRA;ENGR;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;TIPO;GARRA;GAR;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;TIPO;UNIVERSAL;UNI;;
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;DIAMETRO CORPO;1/8;1/8;POLEGADA;""""
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;DIAMETRO CORPO;13;13;MILIMETRO;mm
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;DIAMETRO CORPO;15;15;MILIMETRO;mm
SMK-AHPGR;ACOPLADOR HIDRAULICO;ACOPLADOR HIDRAULICO;ACOPLADOR;DIAMETRO CORPO;38;38;MILIMETRO;mm
